"","F.range","ypr","pspr","Frange2Fcurrent"
"1",0,0,100,0
"2",0.02,5.5057322167165,94.4604300142196,0.0153144977669672
"3",0.04,10.3899580928456,89.3728289512166,0.0306289955339344
"4",0.06,14.7298363238195,84.6876018075076,0.0459434933009017
"5",0.08,18.5913598371398,80.3620293009265,0.0612579910678689
"6",0.1,22.0312426872581,76.3591208382085,0.0765724888348361
"7",0.12,25.0984404604969,72.6466895219764,0.0918869866018033
"8",0.14,27.8353844231128,69.1966006250184,0.107201484368771
"9",0.16,30.2789901920402,65.9841567348324,0.122515982135738
"10",0.18,32.4614874039144,62.9875914295602,0.137830479902705
"11",0.2,34.4111062323287,60.1876497782064,0.153144977669672
"12",0.22,36.1526486341789,57.5672387818585,0.168459475436639
"13",0.24,37.7079661753937,55.1111345230891,0.183773973203607
"14",0.26,39.0963616841994,52.8057355765997,0.199088470970574
"15",0.28,40.3349284400481,50.6388543771459,0.214402968737541
"16",0.3,41.4388378629252,48.5995399015976,0.229717466504508
"17",0.32,42.4215845266354,46.6779263182286,0.245031964271476
"18",0.34,43.2951956374434,44.8651032748055,0.260346462038443
"19",0.36,44.0704107893914,43.1530043023529,0.27566095980541
"20",0.38,44.756836749689,41.5343104520527,0.290975457572377
"21",0.4,45.3630811812929,40.002366795206,0.306289955339344
"22",0.42,45.8968685291565,38.5511098283833,0.321604453106312
"23",0.44,46.36514074638,37.175004159158,0.336918950873279
"24",0.46,46.7741450894662,35.8689871186002,0.352233448640246
"25",0.48,47.1295108470227,34.6284201677504,0.367547946407213
"26",0.5,47.4363165670988,33.4490461465496,0.382862444174181
"27",0.52,47.6991491020362,32.3269515629717,0.398176941941148
"28",0.54,47.922155586067,31.2585332435398,0.413491439708115
"29",0.56,48.109089291867,30.2404687688784,0.428805937475082
"30",0.58,48.2633501714537,29.2696902033497,0.444120435242049
"31",0.6,48.3880207690701,28.3433606992429,0.459434933009017
"32",0.62,48.485898094908,27.458853615925,0.474749430775984
"33",0.64,48.5595219653543,26.6137338448402,0.490063928542951
"34",0.66,48.6112002452122,25.8057410738894,0.505378426309918
"35",0.68,48.6430313678526,25.0327747608586,0.520692924076886
"36",0.7,48.6569244587001,24.2928806162844,0.536007421843853
"37",0.72,48.6546173443882,23.5842384223295,0.55132191961082
"38",0.74,48.6376926931218,22.9051510366249,0.566636417377787
"39",0.76,48.6075925002583,22.2540344492236,0.581950915144754
"40",0.78,48.5656311060501,21.6294087772949,0.597265412911722
"41",0.8,48.5130069091793,21.029890096398,0.612579910678689
"42",0.82,48.4508129196035,20.4541830194373,0.627894408445656
"43",0.84,48.3800462768311,19.9010739450227,0.643208906212623
"44",0.86,48.3016168446612,19.3694249061744,0.658523403979591
"45",0.88,48.2163549803244,18.8581679583187,0.673837901746558
"46",0.9,48.1250185645471,18.3663000525081,0.689152399513525
"47",0.92,48.0282993691176,17.8928783458932,0.704466897280492
"48",0.94,47.9268288298331,17.4370159068065,0.71978139504746
"49",0.96,47.8211832850934,16.9978777764996,0.735095892814427
"50",0.98,47.7118887337255,16.5746773536783,0.750410390581394
"51",1,47.5994251597561,16.1666730715967,0.765724888348361
"52",1.02,47.4842304666796,15.7731653406584,0.781039386115328
"53",1.04,47.3667040592158,15.3934937322865,0.796353883882296
"54",1.06,47.2472101065254,15.0270343823117,0.811668381649263
"55",1.08,47.1260805172962,14.6731975943362,0.82698287941623
"56",1.1,47.0036176539575,14.3314256254854,0.842297377183197
"57",1.12,46.8800968104868,14.0011906387021,0.857611874950165
"58",1.14,46.7557684757862,13.6819928072831,0.872926372717132
"59",1.16,46.6308604023982,13.3733585587427,0.888240870484099
"60",1.18,46.5055794983609,13.0748389463163,0.903555368251066
"61",1.2,46.3801135582465,12.7860081375234,0.918869866018033
"62",1.22,46.2546328478613,12.5064620101919,0.934184363785001
"63",1.24,46.1292915556814,12.2358168472345,0.949498861551968
"64",1.26,46.0042291228439,11.9737081222565,0.964813359318935
"65",1.28,45.8795714623899,11.7197893687953,0.980127857085902
"66",1.3,45.7554320774447,11.4737311266259,0.99544235485287
"67",1.30595206609643,45.718603237986,11.4019743810055,1
"68",1.32,45.6319130871168,11.2352199591519,1.01075685261984
"69",1.34,45.5091061680796,11.0039575364208,1.0260713503868
"70",1.36,45.3870934190691,10.7796597787734,1.04138584815377
"71",1.38,45.2659481548684,10.5620560565637,1.05670034592074
"72",1.4,45.1457356357547,10.350888441773,1.07201484368771
"73",1.42,45.0265137378465,10.1459110076898,1.08732934145467
"74",1.44,44.9083335693035,9.94688917314384,1.10264383922164
"75",1.46,44.791240036891,9.75359908807271,1.11795833698861
"76",1.48,44.675272367025,9.56582705745915,1.13327283475557
"77",1.5,44.5604645850515,9.38336900091626,1.14858733252254
"78",1.52,44.4468459561905,9.20602994541456,1.16390183028951
"79",1.54,44.3344413912744,9.03362354884227,1.17921632805648
"80",1.56,44.2232718201464,8.86597165227106,1.19453082582344
"81",1.58,44.1133545353375,8.70290385896379,1.20984532359041
"82",1.6,44.0047035084179,8.54425713831163,1.22515982135738
"83",1.62,43.8973296812189,8.38987545302564,1.24047431912435
"84",1.64,43.7912412339356,8.23960940803403,1.25578881689131
"85",1.66,43.6864438319536,8.09331591965201,1.27110331465828
"86",1.68,43.5829408530892,7.95085790369706,1.28641781242525
"87",1.7,43.4807335967951,7.8121039813199,1.30173231019221
"88",1.72,43.3798214767536,7.67692820141081,1.31704680795918
"89",1.74,43.2802021981658,7.54520977852312,1.33236130572615
"90",1.76,43.1818719209365,7.41683284533149,1.34767580349312
"91",1.78,43.0848254098589,7.29168621871191,1.36299030126008
"92",1.8,42.989056172814,7.16966317859501,1.37830479902705
"93",1.82,42.8945565879178,7.05066125880293,1.39361929679402
"94",1.84,42.8013180204754,6.93458204913494,1.40893379456098
"95",1.86,42.709330930532,6.82133100801737,1.42424829232795
"96",1.88,42.6185849717489,6.71081728507978,1.43956279009492
"97",1.9,42.5290690822751,6.6029535530627,1.45487728786189
"98",1.92,42.4407715682325,6.49765584850179,1.47019178562885
"99",1.94,42.3536801803823,6.39484342067047,1.48550628339582
"100",1.96,42.2677821845002,6.29443858829701,1.50082078116279
"101",1.98,42.1830644259418,6.19636660360382,1.51613527892976
"102",2,42.0995133888463,6.10055552324622,1.53144977669672
